,Train,Predicted
0,5.137503523749935,4.256087146398224
1,4.53605290024021,6.350812144200937
2,2.765534746362977,3.7943897370432893
3,0.765534746362977,1.6977359541007842
4,7.727920454563199,7.5965146504040035
5,5.368069876532083,4.794958485021705
6,1.8073549220576042,2.3173058088861005
7,8.89208739652348,6.709414009293
8,3.608809242675524,3.24648501931069
9,0.48542682717024166,0.09433753222106565
10,5.872828759534886,4.5730961440843645
11,1.3219280948873624,1.239277260701268
12,8.705977901682521,10.214019090528494
13,8.950993231979641,7.199101907776612
14,5.03121873061072,4.47884910148697
15,9.0,10.463854466526854
16,9.0,7.474226648154488
17,6.255500733148386,4.705968370602838
18,5.9886846867721655,5.254523692925034
19,3.137503523749935,3.0150161146031147
20,0.6780719051126377,0.17345400074613843
21,7.243173983472951,6.5149317286798265
22,3.786596361890807,4.058288284595165
23,0.925999418556223,0.7417503645380599
24,7.161887682376894,4.935228617893579
25,5.548436624696042,8.04470287099304
26,4.958842675243241,6.964473178955586
27,7.638797899951696,5.638702214292536
28,5.277984747299765,4.875768523594495
29,5.658211482751795,5.041475384829646
30,2.963474123974886,3.2407987483604495
31,3.6205864104518777,3.0777922281721892
32,4.842978831788326,3.6348230822961884
33,4.760220946466509,5.310977970675345
34,5.92362461136832,6.7740084681958574
35,1.3785116232537298,1.2428402304213082
36,1.9634741239748859,0.9708382561951217
37,4.727920454563199,4.704984650971478
38,3.711494906650088,4.584065466352165
39,4.095924419998536,3.4832865570517515
40,6.888743248898259,6.2298992049859585
41,6.414473836430928,5.945934688268665
42,6.03121873061072,6.869000221690875
43,5.446256229889564,5.665247234822689
44,5.213347281733441,5.219408403923224
45,4.371558862611963,4.59167607863025
46,7.410239330776022,6.971801867767659
47,7.176921111644362,8.135976679409387
48,5.617651119427331,6.037314639193291
49,4.19377174339668,5.0067469889165235
50,9.159366809743736,8.21793377512705
51,10.591989767615125,9.128215565134708
52,9.537024215863575,10.909891188988873
53,5.116863757690899,5.617827229049992
54,3.572889668420581,4.38509661796455
55,4.350497247084133,5.497044783067455
56,3.9726926540042644,4.8175466078413365
57,3.4195388915137843,3.8376486591979337
58,5.655351828612554,7.3860254343406435
59,2.584962500721156,2.995119573680064
60,3.2016338611696504,2.738881346816042
61,6.098032082960526,6.31801207924056
62,6.7865963618908065,6.277826482107737
63,6.710117632043446,6.767844899966527
64,6.525129251203973,6.3357670532132015
65,5.357552004618084,6.583714593460023
66,4.070389327891398,4.610292939977718
67,3.2016338611696504,4.091945611955225
68,4.727920454563199,4.640524538740358
69,7.805421446171756,7.391492190254675
70,3.350497247084133,2.7320887788345463
71,0.6780719051126377,-0.2991385214431329
72,3.523561956057013,5.090219300859928
73,7.463524373271181,7.06402255157214
74,6.531381460516312,6.847704756889441
75,2.867896463992655,3.6413835278407447
76,2.169925001442312,3.3945093892176104
77,2.584962500721156,4.485799661521155
78,0.48542682717024166,1.1916328153950075
79,4.336283387864432,3.297047639173215
80,0.8479969065549501,0.5763092532562807
81,3.944858445807539,3.984975549798829
82,3.877744249949002,3.529814890686686
83,2.4059923596758366,2.1677188128380767
84,6.165911938935689,6.837812858499634
85,5.7114949066500875,5.86671840568016
86,1.4854268271702418,1.4612222932542842
87,1.4854268271702418,1.8998204987303975
88,1.3785116232537298,1.5914037362698537
89,4.949534933017012,4.4275436771349135
90,3.8972404255747994,3.891753022856165
91,3.1538053360790355,3.1738115998570464
92,4.008988783227255,3.9964428311536118
93,3.1210154009613658,3.4397513005132416
94,2.0,2.9551578317076945
95,5.266786540694901,4.748225969665018
96,4.224966365000275,4.224484796346297
97,2.678071905112638,2.7447257012282407
98,5.797012977836145,5.568521754675118
99,6.320123598040615,6.60966900500695
100,4.857980995127572,4.5889443825059395
101,4.112700132749362,3.9477713927187215
102,3.1043366598147357,3.364282819469444
103,1.765534746362977,2.039138170833061
104,4.300123724569014,5.0235121938256535
105,3.925999418556223,3.8209995941563917
106,2.925999418556223,3.379433080287923
107,2.700439718141092,2.4183851273761654
108,1.632268215499513,2.000460676549728
109,3.0874628412503395,2.6406180285508327
110,2.37851162325373,2.281958474746806
111,3.277984747299765,3.203206282214502
112,2.4594316186372973,2.3678108289317814
113,3.263034405833794,3.085634570057252
114,5.339850002884624,4.532178684637213
115,6.37851162325373,5.603368694375224
116,6.84924870276441,6.569115922619236
117,6.528258742758412,5.694325563130536
118,6.380244590478185,6.320821392048213
119,6.824004050933153,7.762286427586158
120,5.419538891513785,4.030499609088226
121,6.232660756790275,6.043348218398492
122,6.442943495848728,6.412935061614826
123,5.465974464504069,5.640176701704577
124,7.181897643108388,8.143299992841289
125,7.41193462479118,7.94679878398442
126,6.223036337901875,6.512084618056843
127,6.301953395126096,5.835188196191023
128,6.897240425574799,7.953046177746508
129,5.894817763307944,6.281537364408294
130,5.7865963618908065,6.260233722474865
131,4.837943241891027,5.876489561951727
132,7.3416300093299105,7.468103503785136
133,5.933100474931368,6.500167025725731
134,6.074676686294496,6.655149831768021
135,4.307428525192248,5.283787399872982
136,3.548436624696042,4.989803323510546
137,1.2630344058337937,1.0970479922572398
138,1.4329594072761063,0.358692293389508
139,4.632268215499513,6.183376731608934
140,3.4329594072761065,4.529533954944696
141,3.8875252707415875,4.773552231530011
142,7.991521846075695,7.091608049267788
143,4.949534933017012,5.786848502058428
144,5.19377174339668,5.011248081310189
145,1.8875252707415875,4.041695721962135
146,5.20163386116965,4.902893753305459
147,10.12605911607068,10.21461581430328
148,11.822969090453288,11.011725078185544
149,11.7553048882624,11.50782392888554
150,6.434628227636725,5.2322518227601265
151,10.532550739284268,9.301919915863953
152,10.196356226566738,9.327970436747043
153,12.0,10.755605419013191
154,5.4886435398537845,5.398002789750567
155,3.7548875021634687,4.031845024448855
156,9.07761687174007,10.498896994035498
157,8.211888294546004,10.970258434252193
158,11.780006552530455,9.313436125726042
159,12.0,10.885961354418852
160,11.659995892429977,9.128360162881513
161,12.0,13.18681900262946
162,8.459841416975769,9.050376027324416
163,11.929998062609027,9.877320454269666
164,12.0,8.148987345461808
165,11.088898153584145,10.726170677463806
